product|real_item_price
Barbacoa Burrito- [Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.75
Steak Burrito- [Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]|11.48
Veggie Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Steak Burrito- [Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]|11.75
Chicken Burrito- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Burrito- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]|10.98
Carnitas Bowl- [Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|11.48
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Barbacoa Crispy Tacos- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.75
Chicken Bowl- [Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Steak Burrito- [Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]|11.48
Veggie Salad Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Steak Bowl- [Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]|11.48
Veggie Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Veggie Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Salad Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]|11.25
Steak Bowl- [Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.75
Veggie Burrito- [Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]|11.25
Steak Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Steak Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Salad- [Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Steak Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Steak Salad Bowl- [Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]|11.89
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Tomatillo Green Chili Salsa, [Rice, Sour Cream, Guacamole, Lettuce]]|11.25
Veggie Salad Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Lettuce, Guacamole, Sour Cream, Cheese, Black Beans, Rice]]|11.25
Steak Burrito- [Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole]]|11.75
Steak Burrito- [Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Steak Burrito- [Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]|11.08
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.75
Steak Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Cheese, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Chicken Soft Tacos- [Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Guacamole, Lettuce]]|11.25
Steak Burrito- [Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]|11.08
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Crispy Tacos- [Tomatillo Green Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.25
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Cheese, Guacamole]]|11.25
Steak Burrito- [Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]|11.75
Steak Bowl- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]|11.25
Veggie Burrito- [Tomatillo Green Chili Salsa, Guacamole]|11.25
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Steak Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.75
Steak Burrito- [Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]|10.979999999999999
Chicken Bowl- [Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]|11.25
Steak Bowl- [Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.48
Chicken Soft Tacos- [[Tomatillo-Red Chili Salsa (Hot), Roasted Chili Corn Salsa (Medium)], [Guacamole, Cheese, Sour Cream]]|10.98
Steak Bowl- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Guacamole]]|11.48
Barbacoa Crispy Tacos- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Guacamole]]|11.48
Veggie Burrito- [[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Pinto Beans, Fajita Veggies, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Barbacoa Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Veggie Salad Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Carnitas Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Barbacoa Bowl- [[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Cheese, Guacamole]]|11.48
Chicken Soft Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]|11.25
Chicken Burrito- [Fresh Tomato (Mild), [Guacamole, Lettuce, Rice, Fajita Veggies, Sour Cream, Cheese]]|10.58
Veggie Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Barbacoa Crispy Tacos- [Fresh Tomato Salsa, Guacamole]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]|11.25
Steak Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]|11.75
Veggie Salad Bowl- [Fresh Tomato Salsa, [Rice, Lettuce, Guacamole, Fajita Vegetables, Cheese, Sour Cream, Black Beans]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream, Lettuce, Guacamole]]|11.75
Chicken Soft Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]|11.25
Carnitas Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Veggie Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]|11.25
Chicken Burrito- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa, [Rice, Pinto Beans, Lettuce, Guacamole]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa (Medium), [Black Beans, Fajita Veggies, Cheese, Guacamole, Lettuce]]|10.98
Steak Burrito- [Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]|11.08
Veggie Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Sour Cream, Lettuce, Guacamole]]|11.75
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]|11.75
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]|11.75
Steak Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Fresh Tomato Salsa (Mild), [Rice, Black Beans, Fajita Veggies, Cheese, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Salad Bowl- [Tomatillo Green Chili Salsa, [Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Steak Bowl- [[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Guacamole]]|11.48
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Lettuce, Guacamole]]|11.75
Steak Salad Bowl- [Fresh Tomato Salsa, [Pinto Beans, Cheese, Guacamole, Lettuce]]|11.89
Steak Salad Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]|11.89
Chicken Burrito- [Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Carnitas Burrito- [Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]|11.75
Chicken Salad Bowl- [Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]|11.25
Chicken Burrito- [Tomatillo Red Chili Salsa, [Cheese, Guacamole]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]|11.48
Steak Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Tomatillo Red Chili Salsa, [Guacamole, Cheese]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]|11.25
Steak Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Steak Burrito- [[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.48
Chicken Burrito- [Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Chicken Bowl- [Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Guacamole, Lettuce]]|11.75
Steak Burrito- [Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]|11.75
Veggie Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Veggie Soft Tacos- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Tomatillo Red Chili Salsa, [Guacamole, Cheese]]|11.25
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Steak Salad Bowl- [Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]|11.89
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Carnitas Burrito- [Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]|11.75
Chicken Crispy Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]|11.25
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Chicken Burrito- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]|11.25
Veggie Burrito- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Rice, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Salad Bowl- [Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]|11.25
Chicken Bowl- [[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole]]|10.98
Carnitas Bowl- [Fresh Tomato (Mild), [Guacamole, Sour Cream, Cheese]]|11.08
Steak Bowl- [Fresh Tomato (Mild), [Guacamole, Lettuce, Pinto Beans, Rice, Sour Cream, Cheese]]|11.08
Veggie Bowl- [Roasted Chili Corn Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]|11.25
Veggie Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Guacamole]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Sour Cream, Guacamole, Lettuce]]|11.48
Chicken Salad Bowl- [Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole]]|11.25
Carnitas Burrito- [Roasted Chili Corn Salsa, [Cheese, Rice, Guacamole]]|11.75
Chicken Crispy Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]|11.25
Chicken Bowl- [Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Veggie Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Guacamole]]|11.25
Chicken Soft Tacos- [Fresh Tomato Salsa, [Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole]]|11.25
Chicken Soft Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]|11.25
Barbacoa Burrito- [Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Sour Cream, Guacamole]]|10.98
Steak Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Veggie Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.25
Barbacoa Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]|11.75
Steak Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole]]|11.75
Steak Burrito- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Barbacoa Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Veggie Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Guacamole, Lettuce]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Cheese, Lettuce, Guacamole]]|11.75
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce, Guacamole]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Sour Cream, Cheese, Guacamole]]|11.25
Chicken Soft Tacos- [Fresh Tomato Salsa, [Sour Cream, Cheese, Guacamole]]|11.25
Chicken Soft Tacos- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Veggie Burrito- [Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Chicken Bowl- [Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]|11.25
Chicken Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Cheese, Guacamole]]|11.25
Barbacoa Soft Tacos- [Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]|11.75
Chicken Burrito- [Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Steak Burrito- [Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.75
Chicken Bowl- [Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]|11.25
Chicken Bowl- [Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Sour Cream, Guacamole]]|10.98
Chicken Crispy Tacos- [Fresh Tomato Salsa, [Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Carnitas Crispy Tacos- [Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.75
Chicken Burrito- [Fresh Tomato Salsa, [Black Beans, Pinto Beans, Cheese, Guacamole, Lettuce]]|11.25
Chicken Crispy Tacos- [Fresh Tomato Salsa (Mild), [Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Steak Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Lettuce, Guacamole]]|11.75
Steak Bowl- [Fresh Tomato Salsa, [Rice, Fajita Vegetables, Black Beans, Guacamole]]|11.75
Steak Bowl- [Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Guacamole]]|11.48
Chicken Burrito- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Barbacoa Burrito- [Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Cheese, Guacamole]]|11.75
Chicken Burrito- [[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Sour Cream, Guacamole]]|10.98
Carnitas Burrito- [Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Guacamole]]|11.48
